Customer,Name,Current,1 To 31,31 To 61,61 To 92,Over 92,Balance
CON006,CONSUMER GOODS COUNCIL OF SOUTH AFRICA,5173.85,0.0,0.0,0.0,0.0,5173.85
COR001,Corner Main Office Park (Pty) Ltd,5173.85,0.0,0.0,0.0,0.0,5173.85
INT010,International Air Transport Association (IATA),5173.85,0.0,0.0,0.0,0.0,5173.85
MEG001,Megapro Holdings (Pty) Ltd,5173.85,0.0,0.0,0.0,0.0,5173.85
C006464,SMPL SOLUTIONS (PTY) LTD,2586.35,2586.35,0.0,0.0,0.0,5172.7
PRU001,MandG Investment Managers (Pty) Ltd,5169.25,0.0,0.0,0.0,0.0,5169.25
C006019,INNATE TECHNOLOGY SOLUTIONS (PTY) LTD,0.0,0.0,0.0,3434.96,1717.48,5152.44
C001121,Louis Dreyfus Company Africa (Pty) Ltd,6093.85,0.0,0.0,0.0,1035.34,5058.51
C005894,PAYFAST (PTY) LTD,0.0,5019.75,0.0,0.0,0.0,5019.75
C005819,WIAM BEMARKINGS AGENTE (PTY) LTD t/a GROW PORT NATAL FRESH PRODUCT AGENTS,5001.35,0.0,0.0,0.0,0.0,5001.35
C003544,Conosco (Pty) Ltd,4942.7,0.0,0.0,0.0,0.0,4942.7
MPC001,MPC Recruitement (Pty) Ltd,4936.88,0.0,0.0,0.0,0.0,4936.88
MMA001,Mmapho Group (Pty) Ltd,0.0,0.0,0.0,0.0,4922.4,4922.4
C003982,ITEMATE SOLUTIONS PTY LTD,4915.16,0.0,0.0,0.0,0.0,4915.16
C000288,Lilak Trading (Pty) Limited,4915.1,0.0,0.0,0.0,0.0,4915.1
KUN001,Kunene Health Care (Pty) Ltd,4915.1,0.0,0.0,0.0,0.0,4915.1
C001190,YOUR COMMUNICATIONS (PTY) LTD,4830.0,0.0,0.0,0.0,0.0,4830.0
C006126,KOVCO (PTY) LTD,4827.7,0.0,0.0,0.0,0.0,4827.7
C006616,B BRAUN AVITUM (PTY) LTD,1378.85,1203.6,1378.85,0.0,866.4,4827.7
